Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
02323052,SCEA DE LA COUTURELLE,2011,Air,Ammoniac (NH3),10400,kg/an
02372851,GAEC MANSCOURT,2011,Air,Ammoniac (NH3),11800,kg/an
02403072,SA DE BERTAIGNEMONT,2011,Air,Ammoniac (NH3),20200,kg/an
02422103,Elevage de la Ferme MALIN,2011,Air,Ammoniac (NH3),16500,kg/an
02559061,SARL DIANE ELEVAGE,2011,Air,Ammoniac (NH3),25000,kg/an
02650115,GAEC des Hayettes - MOREAU,2011,Air,Ammoniac (NH3),15400,kg/an
02813030,EARL DE LA BREZE,2011,Air,Ammoniac (NH3),10000,kg/an
03197077,CHENE Alain,2011,Air,Ammoniac (NH3),15100,kg/an
051.00009,ISDND ALLEMANT,2011,Air,Méthane (CH4),563000,kg/an
051.00009,ISDND ALLEMANT,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),16100000,kg/an
051.00009,ISDND ALLEMANT,2011,Air,CO2 Total d'origine biomasse uniquement,16100000,kg/an
051.00058,NLMK COATING S.A.,2011,Air,CO2 Total d'origine non biomasse uniquement,12700000,kg/an
051.00058,NLMK COATING S.A.,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12700000,kg/an
051.00097,NESTLE - Usine de Boué,2011,Air,CO2 Total d'origine non biomasse uniquement,21300000,kg/an
051.00097,NESTLE - Usine de Boué,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),21300000,kg/an
051.00114,Etablissement de Bucy Le Long,2011,Air,Composés organiques volatils non méthaniques (COVNM),78700,kg/an
051.00114,Etablissement de Bucy Le Long,2011,Air,Oxydes d'azote (NOx/NO2),171000,kg/an
051.00114,Etablissement de Bucy Le Long,2011,Air,CO2 Total d'origine non biomasse uniquement,133000000,kg/an
051.00114,Etablissement de Bucy Le Long,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),156000000,kg/an
051.00114,Etablissement de Bucy Le Long,2011,Air,CO2 Total d'origine biomasse uniquement,23200000,kg/an
051.00143,Greenfield SAS,2011,Air,CO2 Total d'origine non biomasse uniquement,20200000,kg/an
051.00143,Greenfield SAS,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),20200000,kg/an
051.00143,Greenfield SAS,2011,Eau (direct),Demande chimique en oxygène (DCO),322000,kg/an
051.00143,Greenfield SAS,2011,Sol,Cadmium et composés (exprimés en tant que Cd),5.85,kg/an
051.00143,Greenfield SAS,2011,Sol,Chrome et composés (exprimés en tant que Cr),290,kg/an
051.00143,Greenfield SAS,2011,Sol,Cuivre et composés (exprimés en tant que Cu),1500,kg/an
051.00143,Greenfield SAS,2011,Sol,Mercure et composés (exprimés en tant que Hg),3.51,kg/an
051.00143,Greenfield SAS,2011,Sol,Nickel et composés (exprimés en tant que Ni),111,kg/an
051.00143,Greenfield SAS,2011,Sol,Plomb et composés (exprimés en tant que Pb),372,kg/an
051.00143,Greenfield SAS,2011,Sol,Zinc et composés (exprimés en tant que Zn),7870,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,Composés organiques volatils non méthaniques (COVNM),48200,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,Monoxyde de carbone (CO),3710000,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,Oxydes de soufre (SOx/SO2),189000,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,Oxydes d'azote (NOx/NO2),149000,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,CO2 Total d'origine non biomasse uniquement,61700000,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),61700000,kg/an
051.00185,ARKEMA Usine de Chauny,2011,Eau (direct),Di(2-éthylhexyle)phtalate (DEHP),43.6,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Air,Chlorométhane (chlorure de méthyle),17600,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Air,Composés organiques volatils non méthaniques (COVNM),31300,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Air,"Dichlorométhane (DCM, chlorure de méthylène)",38400,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Air,Méthanol (alcool méthylique),27600,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",12,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),Azote total,54000,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),Chlorures (en tant que Cl total),3230000,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),Composés organohalogénés (exprimés en tant que AOX),8110,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),Demande chimique en oxygène (DCO),325000,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),"Dichlorométhane (DCM, chlorure de méthylène)",20,kg/an
051.00190,Dow France SAS - Site de Chauny,2011,Eau (direct),Sulfates,2920000,kg/an
051.00203,EUROKERA,2011,Air,Hydrochlorofluorocarbures (HCFC),12,kg/an
051.00203,EUROKERA,2011,Eau (indirect),Arsenic et composés (exprimés en tant que As),21,kg/an
051.00205,INZO SAS,2011,Eau (indirect),Demande biologique en oxygène (DBO5),232000,kg/an
051.00257,VERALLIA-VAUXROT,2011,Air,Cadmium et composés (exprimés en tant que Cd),19,kg/an
051.00257,VERALLIA-VAUXROT,2011,Air,Oxydes d'azote (NOx/NO2),110000,kg/an
051.00257,VERALLIA-VAUXROT,2011,Air,Plomb et composés (exprimés en tant que Pb),912,kg/an
051.00257,VERALLIA-VAUXROT,2011,Air,CO2 Total d'origine non biomasse uniquement,49600000,kg/an
051.00257,VERALLIA-VAUXROT,2011,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),49600000,kg/an
