Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite_admise,Quantite_traitee,Unite
065.03069,CTSDU de Villeparisis (SITA FD),Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,10 12 01,Déchets de préparation avant cuisson,250.000,250.000,t/an
070.00951,SOTRENOR,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,19 08 05,Boues provenant du traitement des eaux usées urbaines,0.000,43.800,t/an
066.01279,Incinérateur de la Communauté d'Agglomération du Bassin de Thau,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,8,Ordures ménagères,174000.000,158000.000,t/an
100.03878,CIMENTS CALCIA,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,15,"Emballages et déchets d'emballages, absorbants, chiffons d'essuyage, matériaux filtrants et vêtements de protection non spécifiés ailleurs :",2400.000,2400.000,t/an
057.03294,SUEZ ORGANIQUE - Site de Bossancourt,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,12,Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :,24160.000,24160.000,t/an
070.04066,CARAMBOLAGE 59,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,16 01 06,Véhicules hors d'usage ne contenant ni liquides ni autres composants dangereux,118.000,2120.000,t/an
061.04509,UIOM VALEZAN,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,8,Ordures ménagères,70800.000,66400.000,t/an
052.01183,PENA ENVIRONNEMENT,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,02 01 06,"Fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site",642.000,642.000,t/an
104.00612,GDE Apprieu,Traitement de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,,,19 12 12,Autres déchets (y compris mélanges) provenant du traitement mécanique des déchets autres que ceux visés à la rubrique 19 12 11.,1422.000,1422.000,t/an
057.01210,Garage Baudoin,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,16 01 03,Pneus hors d'usage,14.000,14.000,t/an
062.01370,EQIOM - usine de Héming,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,16 03 06,Déchets d'origine organique autres que ceux visés à la rubrique 16 03 05.,22.000,22.000,t/an
054.01112,CET DE DRAMBON CLASSE 1 ET 2,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,17 05 04,Terres et cailloux autres que ceux visés à la rubrique 17 05 03,8400.000,8400.000,t/an
062.01090,RECUP'AUTO GROBEN,Traitement de dÃ©chets non dangereux,2011,D15,"D15 Stockage préalablement à l'une des opérations numérotées D 1 à D 14 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",,,16 01 03,Pneus hors d'usage,8.340,8.340,t/an
064.01013,SOLAMAT-MEREX ROGNAC,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,12 01 99,Déchets non spécifiés ailleurs.,111.200,111.200,t/an
062.07626,LINGENHELD ENVIRONNEMENT LORRAINE - Centre de valorisation METZ-NANCY-LORRAINE,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,19 08 12,Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11,520.000,520.000,t/an
058.01842,ETARES,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,06 13 99,Déchets non spécifiés ailleurs.,316.000,316.000,t/an
064.06623,ISDND DU BEYNON,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,17 09 04,"Déchets de construction et de démolition en mélange autres que ceux visés aux rubriques 17 09 01, 17 09 02 et 17 09 03.",3800.000,3800.000,t/an
070.00951,SOTRENOR,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,05 01 14,Déchets provenant des colonnes de refroidissement,0.000,86.800,t/an
064.01013,SOLAMAT-MEREX ROGNAC,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,20 01 99,Autres fractions non spécifiées ailleurs.,3.920,3.920,t/an
065.03069,CTSDU de Villeparisis (SITA FD),Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,10 02 15,Autres boues et gâteaux de filtration,72.000,72.000,t/an
059.00275,SOTREFI,Traitement de dÃ©chets non dangereux,2011,"D9 ","D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.)",,,12 01 04,Fines et poussières de métaux non ferreux,306.000,306.000,t/an
064.01013,SOLAMAT-MEREX ROGNAC,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,16 01 99,Déchets non spécifiés ailleurs.,84.800,84.800,t/an
065.03069,CTSDU de Villeparisis (SITA FD),Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 12,Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11,16.200,16.200,t/an
072.01595,SCORI,Traitement de dÃ©chets non dangereux,2011,D13,D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12,,,07 01 12,Boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 01 11,1.720,1.720,t/an
052.05637,ISDND de Nicole,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,9,Déchets banals des entreprises,120000.000,25440.000,t/an
063.04262,CTSDU de SEDA,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,04 01 99,Déchets non spécifiés ailleurs.,144.200,144.200,t/an
070.00956,ARCELORMITTAL ATLANTIQUE et LORRAINE SITE DE DUNKERQUE,Traitement de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,,,03 03 99,Déchets non spécifiés ailleurs.,1.480,1.480,t/an
055.00309,KERVAL CENTRE ARMOR,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,15 01 01,Emballages en papier/carton,128.000,128.000,t/an
068.03638,Tannerie F. Arnal,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,9,Déchets banals des entreprises,0.000,836.000,t/an
053.03658,SUEZ RV Normandie - ISDND d'Isigny-le-Buat,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,20 03 01,Déchets municipaux en mélange,21000.000,21000.000,t/an
064.06645,CSDU04,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,8,Ordures ménagères,203200.000,203200.000,t/an
051.00864,VALNOR,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,9,Déchets banals des entreprises,202800.000,202800.000,t/an
